Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus,Priority
LockLevel.java,5.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,4.0,4.0,5.0,0.0,0.0,1.0,0.0,4.0,10.0,48.0,7.0,28.0,12.0,11.0,13.0,2.0,12.0,16.0,9.0,7.0,5.0,4.0,0.0,1.0,0.0,0.0,"0,46",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
LockRequest.java,11.0,1.0,10.0,1.0,3.0,5.0,42.0,42.0,0.0,6.0,3.0,11.0,61.0,0.0,59.0,58.0,13.0,61.0,47.0,1.0,2.0,0.0,58.0,261.0,861.0,107.0,724.0,161.0,443.0,45.0,120.0,341.0,509.0,147.0,394.0,137.0,17.0,1.0,4.0,77.0,63.0,"0,06",180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,3
LockRequestBuilder.java,9.0,0.0,7.0,2.0,2.0,1.0,7.0,7.0,0.0,4.0,0.0,0.0,11.0,0.0,11.0,11.0,4.0,11.0,6.0,1.0,2.0,0.0,8.0,130.0,168.0,20.0,95.0,30.0,44.0,53.0,12.0,43.0,72.0,33.0,42.0,7.0,4.0,1.0,3.0,44.0,28.0,"0,56",22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
LockResponse.java,8.0,0.0,7.0,1.0,2.0,5.0,40.0,40.0,0.0,6.0,3.0,7.0,43.0,0.0,41.0,40.0,7.0,43.0,29.0,1.0,2.0,0.0,40.0,163.0,500.0,74.0,387.0,116.0,210.0,45.0,71.0,183.0,271.0,101.0,182.0,68.0,8.0,1.0,3.0,70.0,48.0,"0,12",86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
LockState.java,5.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,4.0,5.0,5.0,0.0,0.0,1.0,0.0,4.0,16.0,51.0,7.0,31.0,13.0,13.0,13.0,2.0,13.0,17.0,9.0,8.0,6.0,5.0,0.0,1.0,0.0,0.0,"0,42",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
LockTableDesc.java,3.0,0.0,3.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,12.0,0.0,12.0,12.0,5.0,12.0,12.0,0.0,0.0,0.0,12.0,16.0,91.0,18.0,52.0,25.0,15.0,21.0,10.0,25.0,38.0,24.0,14.0,10.0,1.0,2.0,0.0,77.0,77.0,"0,40",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,1
LockType.java,5.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,4.0,4.0,5.0,0.0,0.0,1.0,0.0,4.0,15.0,48.0,7.0,28.0,12.0,11.0,13.0,2.0,12.0,16.0,9.0,7.0,5.0,4.0,0.0,1.0,0.0,0.0,"0,46",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
Log4j2ConfiguratorServlet.java,8.0,0.0,7.0,1.0,2.0,1.0,20.0,20.0,0.0,3.0,0.0,6.0,16.0,0.0,16.0,15.0,5.0,15.0,6.0,0.0,3.0,1.0,11.0,34.0,279.0,27.0,152.0,63.0,76.0,100.0,52.0,82.0,112.0,59.0,63.0,18.0,7.0,2.0,4.0,58.0,33.0,"0,66",29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,1
Log4jQueryCompleteMarker.java,5.0,0.0,5.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,8.0,0.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,3.0,69.0,12.0,41.0,20.0,12.0,16.0,11.0,12.0,22.0,12.0,10.0,9.0,2.0,1.0,1.0,0.0,0.0,"0,39",9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
LogDirectoryCleaner.java,14.0,0.0,14.0,0.0,4.0,1.0,10.0,10.0,0.0,2.0,0.0,1.0,4.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,7.0,99.0,6.0,75.0,33.0,39.0,18.0,16.0,39.0,58.0,34.0,34.0,8.0,8.0,2.0,5.0,0.0,0.0,"0,24",14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
LogDivertAppender.java,31.0,3.0,21.0,7.0,3.0,1.0,22.0,22.0,0.0,2.0,2.0,7.0,5.0,0.0,5.0,3.0,2.0,5.0,1.0,0.0,1.0,0.0,4.0,10.0,252.0,29.0,151.0,83.0,101.0,72.0,20.0,111.0,124.0,75.0,84.0,2.0,5.0,1.0,1.0,0.0,0.0,"0,48",13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
LogDivertAppenderForTest.java,33.0,3.0,20.0,10.0,2.0,1.0,19.0,19.0,0.0,2.0,2.0,1.0,4.0,0.0,4.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,3.0,10.0,190.0,18.0,105.0,61.0,63.0,67.0,17.0,65.0,74.0,51.0,49.0,2.0,3.0,1.0,2.0,0.0,0.0,"0,64",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,1
LogHelpers.java,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,10.0,9.0,3.0,18.0,0.0,6.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"1,80",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,1
LogRedirector.java,12.0,0.0,10.0,2.0,3.0,2.0,11.0,11.0,0.0,2.0,1.0,1.0,4.0,0.0,5.0,4.0,5.0,5.0,4.0,1.0,0.0,0.0,4.0,12.0,99.0,12.0,58.0,24.0,27.0,29.0,10.0,31.0,42.0,22.0,21.0,8.0,7.0,1.0,4.0,40.0,40.0,"0,50",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,1
LogRetriever.java,27.0,2.0,24.0,1.0,4.0,1.0,27.0,27.0,0.0,3.0,0.0,10.0,11.0,0.0,9.0,11.0,13.0,11.0,8.0,0.0,6.0,0.0,5.0,68.0,406.0,33.0,313.0,128.0,216.0,60.0,89.0,178.0,230.0,116.0,150.0,43.0,11.0,1.0,3.0,65.0,51.0,"0,19",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,1
LogUtils.java,15.0,0.0,11.0,4.0,2.0,2.0,36.0,36.0,0.0,2.0,11.0,8.0,12.0,0.0,12.0,1.0,0.0,12.0,16.0,0.0,3.0,0.0,9.0,92.0,259.0,21.0,167.0,67.0,95.0,71.0,86.0,84.0,113.0,59.0,70.0,39.0,5.0,1.0,4.0,0.0,0.0,"0,43",28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,1
LogUtils.java,15.0,0.0,12.0,3.0,2.0,2.0,36.0,36.0,0.0,2.0,5.0,2.0,6.0,0.0,6.0,1.0,0.0,6.0,16.0,1.0,4.0,0.0,1.0,92.0,140.0,11.0,90.0,33.0,51.0,39.0,86.0,43.0,58.0,29.0,36.0,39.0,3.0,1.0,2.0,0.0,0.0,"0,43",13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1,1
LoggingFutureCallback.java,5.0,0.0,5.0,0.0,1.0,2.0,6.0,6.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,5.0,44.0,7.0,24.0,12.0,7.0,13.0,4.0,11.0,16.0,10.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,"0,54",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
