Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus,Priority
UDFUnbase64.java,10.0,0.0,10.0,0.0,2.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,5.0,42.0,4.0,21.0,13.0,8.0,17.0,6.0,13.0,16.0,11.0,8.0,2.0,2.0,2.0,1.0,0.0,0.0,"0,81",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFUnhex.java,29.0,3.0,20.0,6.0,5.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,3.0,73.0,7.0,39.0,21.0,13.0,27.0,6.0,14.0,20.0,9.0,12.0,5.0,5.0,2.0,2.0,0.0,0.0,"0,69",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFUtils.java,5.0,0.0,5.0,0.0,2.0,1.0,6.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,36.0,5.0,14.0,11.0,3.0,17.0,6.0,9.0,11.0,10.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,"1,21",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFVersion.java,3.0,0.0,3.0,0.0,1.0,1.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,2.0,40.0,5.0,15.0,12.0,3.0,20.0,1.0,7.0,9.0,8.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,"1,33",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFWeekOfYear.java,11.0,0.0,8.0,2.0,2.0,1.0,12.0,12.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,4.0,2.0,4.0,10.0,0.0,0.0,0.0,4.0,14.0,106.0,13.0,63.0,36.0,23.0,30.0,19.0,36.0,45.0,27.0,23.0,7.0,3.0,2.0,2.0,13.0,13.0,"0,48",8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFXPathBoolean.java,3.0,0.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,3.0,39.0,5.0,17.0,14.0,2.0,17.0,3.0,5.0,7.0,6.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,"1,00",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFXPathDouble.java,3.0,0.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,3.0,37.0,5.0,15.0,12.0,2.0,17.0,3.0,5.0,7.0,6.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,"1,13",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFXPathFloat.java,3.0,0.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,3.0,37.0,5.0,15.0,12.0,2.0,17.0,3.0,5.0,7.0,6.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,"1,13",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFXPathInteger.java,3.0,0.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,3.0,37.0,5.0,15.0,12.0,2.0,17.0,3.0,5.0,7.0,6.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,"1,13",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
UDFXPathLong.java,3.0,0.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,3.0,37.0,5.0,15.0,12.0,2.0,17.0,3.0,5.0,7.0,6.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,"1,13",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0,0
