Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus,Priority,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
TestReplicationIncrementalCheckpointing.java,35.0,6.0,25.0,3.0,1.0,1.0,33.0,33.0,0.0,1.0,1.0,0.0,17.0,0.0,17.0,16.0,6.0,17.0,23.0,0.0,1.0,0.0,16.0,92.0,670.0,131.0,466.0,98.0,383.0,73.0,128.0,184.0,203.0,77.0,149.0,19.0,3.0,2.0,1.0,81.0,75.0,"0,16",19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,670.0,0.0,1.0,1.0,0.0,1.0,46819.0,1.0,0.0,1.0,0.0,1.0,46819.0,1.0,1.0
TestReplicationMetricCollector.java,27.0,2.0,24.0,0.0,1.0,1.0,47.0,47.0,0.0,1.0,0.0,0.0,19.0,0.0,19.0,19.0,4.0,19.0,19.0,0.0,3.0,0.0,16.0,88.0,601.0,60.0,512.0,181.0,406.0,29.0,331.0,399.0,425.0,150.0,358.0,23.0,3.0,1.0,2.0,74.0,72.0,"0,06",23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,657.0,56.0,13.0,7.0,2.0,7.0,27247.69230769231,13.0,1.0,12.0,1.0,12.0,27247.69230769231,1.8571428571428572,1.0
TestReplicationMetricSink.java,45.0,1.0,43.0,1.0,2.0,2.0,53.0,53.0,0.0,2.0,0.0,0.0,6.0,0.0,6.0,6.0,3.0,6.0,6.0,0.0,3.0,0.0,3.0,39.0,353.0,22.0,307.0,98.0,231.0,29.0,140.0,229.0,252.0,89.0,191.0,14.0,7.0,2.0,2.0,33.5,28.0,"0,09",14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,382.0,29.0,11.0,6.0,1.0,6.0,11246.0,11.0,1.0,10.0,1.0,10.0,11246.0,1.8333333333333333,1.0
TestReplicationMetricUpdateOnFailure.java,13.0,2.0,11.0,1.0,1.0,1.0,39.0,39.0,0.0,1.0,0.0,0.0,20.0,0.0,20.0,12.0,6.0,12.0,12.0,2.0,0.0,0.0,10.0,96.0,332.0,51.0,246.0,127.0,165.0,35.0,219.0,194.0,207.0,105.0,155.0,20.0,1.0,1.0,0.0,40.0,32.0,"0,14",20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,336.0,4.0,4.0,3.0,1.0,3.0,47549.5,4.0,0.0,4.0,0.0,4.0,47549.5,1.3333333333333333,1.0
TestReplicationMetrics.java,27.0,1.0,25.0,1.0,1.0,1.0,16.0,16.0,0.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,2.0,9.0,13.0,0.0,2.0,0.0,7.0,25.0,304.0,28.0,245.0,69.0,197.0,31.0,106.0,214.0,225.0,61.0,196.0,9.0,2.0,2.0,1.0,33.0,33.0,"0,13",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,307.0,3.0,2.0,1.0,0.0,1.0,36207.0,2.0,0.0,2.0,0.0,2.0,36207.0,2.0,2.0
TestReplicationMigrationTool.java,24.0,4.0,18.0,3.0,1.0,1.0,29.0,29.0,0.0,1.0,1.0,0.0,14.0,0.0,14.0,13.0,3.0,14.0,20.0,0.0,7.0,0.0,7.0,91.0,408.0,74.0,280.0,84.0,205.0,54.0,122.0,176.0,198.0,70.0,154.0,14.0,1.0,2.0,1.0,60.0,40.0,"0,19",14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,408.0,0.0,1.0,1.0,0.0,1.0,13552.0,1.0,0.0,1.0,0.0,1.0,13552.0,1.0,1.0
TestReplicationOfHiveStreaming.java,38.0,5.0,28.0,5.0,1.0,2.0,32.0,32.0,0.0,2.0,3.0,5.0,8.0,0.0,8.0,5.0,1.0,8.0,8.0,1.0,0.0,0.0,7.0,32.0,368.0,57.0,252.0,69.0,196.0,59.0,89.0,143.0,152.0,52.0,113.0,8.0,1.0,2.0,0.0,20.0,17.5,"0,23",8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,416.0,48.0,6.0,5.0,1.0,5.0,27111.666666666668,6.0,0.0,6.0,0.0,6.0,27111.666666666668,1.2,1.0
TestReplicationOnHDFSEncryptedZones.java,26.0,3.0,24.0,1.0,1.0,4.0,41.0,41.0,0.0,4.0,2.0,8.0,5.0,0.0,5.0,3.0,1.0,5.0,5.0,0.0,0.0,0.0,5.0,40.0,194.0,23.0,153.0,64.0,103.0,21.0,55.0,88.0,94.0,50.0,60.0,5.0,1.0,2.0,0.0,13.25,13.25,"0,14",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,162.0,112.0,12.0,9.0,3.0,9.0,86453.91666666667,12.0,1.0,11.0,1.0,11.0,86453.91666666667,1.3333333333333333,1.0
TestReplicationOptimisedBootstrap.java,71.0,11.0,51.0,10.0,2.0,1.0,60.0,60.0,0.0,1.0,1.0,0.0,20.0,0.0,20.0,18.0,5.0,19.0,49.0,1.0,2.0,0.0,16.0,244.0,1536.0,248.0,1077.0,259.0,931.0,214.0,346.0,589.0,636.0,230.0,531.0,38.0,5.0,2.0,2.0,81.0,77.0,"0,20",38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,1901.0,365.0,20.0,7.0,5.0,7.0,78952.2,20.0,0.0,20.0,0.0,20.0,78952.2,2.857142857142857,1.0
TestReplicationScenarios.java,37.0,5.0,29.0,3.0,2.0,18.0,210.0,210.0,3.0,17.0,9.0,12.0,140.0,0.0,141.0,131.0,5.0,140.0,150.0,2.0,41.0,0.0,97.0,1183.0,5267.0,881.0,3998.0,1306.0,3346.0,398.0,1269.0,3182.0,3449.0,1209.0,2771.0,244.0,15.0,2.0,4.0,5.125,4.125,"0,10",245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1.0,3.0,3563.0,2093.0,83.0,21.0,6.0,21.0,59321.74698795181,83.0,4.0,79.0,4.0,79.0,59321.74698795181,3.952380952380953,1.0
