Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus
File,TextMetaDataFormatter.java,20.0,1.0,19.0,1.0,4.0,,,,,3.0,2.0,7.0,31.0,,31.0,29.0,10.0,31.0,,1.0,6.0,0.0,24.0,,769.0,58.0,647.0,173.0,392.0,65.0,,324.0,458.0,144.0,344.0,,26.0,,6.0,,,"0,10",132.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TextMetaDataTable.java,9.0,0.0,9.0,0.0,3.0,,,,,1.0,0.0,0.0,3.0,,3.0,3.0,1.0,3.0,,0.0,0.0,0.0,3.0,,61.0,9.0,35.0,11.0,17.0,17.0,,19.0,31.0,15.0,19.0,,6.0,,2.0,,,"0,49",9.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TextRecordReader.java,7.0,1.0,6.0,0.0,2.0,,,,,1.0,0.0,0.0,4.0,,4.0,4.0,4.0,4.0,,0.0,0.0,0.0,4.0,,74.0,12.0,41.0,21.0,13.0,21.0,,24.0,32.0,20.0,13.0,,3.0,,1.0,,,"0,51",7.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TextRecordWriter.java,7.0,1.0,6.0,0.0,1.0,,,,,1.0,0.0,0.0,3.0,,3.0,3.0,2.0,3.0,,0.0,0.0,0.0,3.0,,61.0,10.0,30.0,17.0,10.0,21.0,,19.0,24.0,16.0,8.0,,2.0,,1.0,,,"0,70",4.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezAmInstance.java,6.0,0.0,6.0,0.0,2.0,,,,,1.0,0.0,1.0,7.0,,7.0,7.0,2.0,7.0,,1.0,0.0,0.0,6.0,,87.0,12.0,62.0,30.0,28.0,13.0,,37.0,50.0,29.0,27.0,,4.0,,1.0,,,"0,21",12.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,TezAmRegistryImpl.java,7.0,0.0,7.0,0.0,2.0,,,,,1.0,1.0,9.0,10.0,,10.0,9.0,2.0,10.0,,0.0,1.0,2.0,7.0,,127.0,17.0,96.0,46.0,50.0,15.0,,54.0,70.0,42.0,34.0,,5.0,,2.0,,,"0,16",18.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,TezBucketJoinProcCtx.java,3.0,0.0,3.0,0.0,1.0,,,,,1.0,0.0,0.0,3.0,,3.0,3.0,1.0,3.0,,0.0,0.0,0.0,3.0,,37.0,6.0,14.0,7.0,4.0,17.0,,6.0,10.0,7.0,3.0,,1.0,,0.0,,,"1,21",3.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezCompiler.java,41.0,4.0,33.0,4.0,6.0,,,,,6.0,7.0,1.0,31.0,,31.0,24.0,2.0,31.0,,0.0,21.0,5.0,5.0,,1452.0,173.0,1117.0,353.0,739.0,164.0,,547.0,783.0,330.0,585.0,,16.0,,7.0,,,"0,15",199.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezContext.java,4.0,0.0,4.0,0.0,1.0,,,,,1.0,0.0,0.0,11.0,,11.0,11.0,5.0,11.0,,0.0,0.0,0.0,11.0,,94.0,19.0,54.0,25.0,15.0,21.0,,26.0,40.0,25.0,15.0,,2.0,,1.0,,,"0,39",13.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezCounterSource.java,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,,24.0,2.0,5.0,4.0,0.0,17.0,,3.0,4.0,4.0,0.0,,0.0,,0.0,,,"3,40",0.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
