Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus
File,Executor.java,21.0,2.0,16.0,2.0,3.0,,,,,1.0,0.0,3.0,23.0,,23.0,22.0,5.0,22.0,,0.0,20.0,0.0,2.0,,574.0,79.0,428.0,118.0,279.0,67.0,,238.0,321.0,116.0,242.0,,7.0,,4.0,,,"0,16",78.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,EximReplicationTaskFactory.java,27.0,0.0,24.0,3.0,10.0,,,,,1.0,0.0,0.0,1.0,,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,,64.0,2.0,32.0,8.0,21.0,30.0,,16.0,27.0,8.0,19.0,,10.0,,1.0,,,"0,94",10.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,EximUtil.java,10.0,0.0,9.0,1.0,2.0,,,,,4.0,14.0,14.0,39.0,,39.0,24.0,12.0,38.0,,1.0,3.0,0.0,34.0,,554.0,59.0,420.0,174.0,226.0,76.0,,202.0,282.0,157.0,165.0,,7.0,,3.0,,,"0,18",76.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExitCode.java,2.0,0.0,2.0,0.0,1.0,,,,,1.0,0.0,0.0,4.0,,2.0,4.0,9.0,4.0,,1.0,0.0,0.0,3.0,,44.0,5.0,18.0,13.0,2.0,21.0,,5.0,7.0,5.0,2.0,,1.0,,0.0,,,"1,17",2.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExitException.java,6.0,1.0,4.0,2.0,1.0,,,,,1.0,0.0,1.0,2.0,,2.0,2.0,1.0,2.0,,0.0,0.0,0.0,2.0,,38.0,5.0,12.0,6.0,4.0,21.0,,6.0,9.0,6.0,3.0,,1.0,,0.0,,,"1,75",2.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,Explain.java,2.0,0.0,2.0,0.0,1.0,,,,,3.0,0.0,0.0,6.0,,8.0,12.0,12.0,12.0,,7.0,0.0,0.0,5.0,,80.0,10.0,32.0,22.0,5.0,38.0,,17.0,21.0,16.0,5.0,,3.0,,2.0,,,"1,19",4.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExplainConfiguration.java,3.0,0.0,3.0,0.0,1.0,,,,,3.0,0.0,0.0,43.0,,39.0,43.0,26.0,43.0,,1.0,0.0,0.0,42.0,,218.0,50.0,148.0,69.0,56.0,20.0,,65.0,104.0,65.0,39.0,,1.0,,0.0,,,"0,14",39.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExplainLockDesc.java,5.0,0.0,5.0,0.0,1.0,,,,,1.0,0.0,0.0,14.0,,14.0,14.0,5.0,14.0,,0.0,0.0,0.0,14.0,,116.0,18.0,78.0,26.0,32.0,20.0,,36.0,57.0,26.0,32.0,,5.0,,1.0,,,"0,26",20.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExplainSQRewriteSemanticAnalyzer.java,11.0,2.0,9.0,0.0,1.0,,,,,1.0,0.0,0.0,3.0,,3.0,3.0,1.0,3.0,,0.0,0.0,0.0,3.0,,66.0,12.0,36.0,21.0,17.0,18.0,,20.0,24.0,16.0,12.0,,1.0,,0.0,,,"0,50",3.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ExplainSQRewriteTask.java,17.0,2.0,15.0,0.0,3.0,,,,,1.0,0.0,1.0,9.0,,9.0,9.0,1.0,9.0,,2.0,2.0,0.0,5.0,,210.0,31.0,158.0,67.0,97.0,21.0,,88.0,111.0,61.0,73.0,,6.0,,2.0,,,"0,13",26.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
