Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus,Priority,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
AbstractOutputFormat.java,12.0,1.0,11.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,4.0,3.0,0.0,0.0,1.0,4.0,50.0,8.0,17.0,8.0,8.0,25.0,6.0,11.0,14.0,8.0,7.0,2.0,2.0,1.0,1.0,0.0,0.0,"1,47",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractParquetMapInspector.java,10.0,1.0,9.0,0.0,3.0,2.0,9.0,9.0,3.0,1.0,0.0,0.0,13.0,0.0,13.0,13.0,2.0,13.0,13.0,0.0,0.0,0.0,13.0,30.0,173.0,26.0,134.0,48.0,68.0,13.0,27.0,57.0,90.0,37.0,58.0,32.0,10.0,1.0,2.0,62.0,62.0,"0,10",33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractPrimitiveJavaObjectInspector.java,4.0,0.0,4.0,0.0,1.0,1.0,2.0,2.0,19.0,1.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,15.0,0.0,0.0,2.0,3.0,2.0,49.0,6.0,23.0,12.0,5.0,20.0,3.0,7.0,13.0,8.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,"0,87",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractPrimitiveLazyObjectInspector.java,4.0,0.0,4.0,0.0,1.0,1.0,3.0,3.0,17.0,1.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,14.0,0.0,0.0,2.0,2.0,8.0,48.0,6.0,22.0,13.0,4.0,20.0,3.0,9.0,14.0,10.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,"0,91",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractPrimitiveObjectInspector.java,7.0,0.0,4.0,3.0,1.0,2.0,7.0,7.0,3.0,1.0,0.0,0.0,10.0,0.0,10.0,10.0,1.0,10.0,10.0,0.0,0.0,2.0,8.0,24.0,107.0,13.0,46.0,25.0,10.0,48.0,14.0,15.0,26.0,16.0,10.0,8.0,1.0,1.0,0.0,20.0,20.0,"1,04",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractPrimitiveWritableObjectInspector.java,4.0,0.0,4.0,0.0,1.0,1.0,2.0,2.0,17.0,1.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,14.0,0.0,0.0,2.0,2.0,1.0,46.0,6.0,20.0,11.0,4.0,20.0,2.0,6.0,11.0,7.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,"1,00",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractRecordWriter.java,13.0,0.0,12.0,1.0,3.0,2.0,39.0,39.0,2.0,1.0,1.0,1.0,13.0,0.0,18.0,17.0,12.0,18.0,18.0,1.0,5.0,6.0,6.0,53.0,273.0,31.0,200.0,82.0,101.0,43.0,69.0,110.0,142.0,77.0,77.0,26.0,8.0,1.0,2.0,85.0,78.0,"0,21",34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractRowContainer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,26.0,59.0,10.0,14.0,12.0,0.0,35.0,4.0,10.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,50",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractSMBJoinProc.java,41.0,4.0,27.0,10.0,4.0,2.0,48.0,48.0,4.0,1.0,0.0,0.0,11.0,0.0,12.0,12.0,0.0,12.0,24.0,0.0,2.0,7.0,3.0,51.0,537.0,61.0,335.0,134.0,201.0,141.0,134.0,175.0,227.0,109.0,163.0,47.0,12.0,2.0,3.0,0.0,0.0,"0,42",49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractSSHCommand.java,3.0,0.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,11.0,0.0,11.0,11.0,7.0,11.0,11.0,0.0,0.0,0.0,11.0,53.0,70.0,4.0,48.0,22.0,15.0,18.0,10.0,23.0,35.0,21.0,14.0,10.0,1.0,1.0,0.0,82.0,82.0,"0,38",11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
